universite_adi,bolum_adi,puan_2024,tur
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,307.90536,bilgisayar
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,Bilgisayar Mühendisliği,307.64795,bilgisayar
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,307.31168,bilgisayar
ALANYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),307.24918,bilgisayar
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),307.08034,bilgisayar
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,306.97252,bilgisayar
KARABÜK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,306.89027,bilgisayar
KTO KARATAY ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),306.76199,bilgisayar
KASTAMONU ÜNİVERSİTESİ,Bilgisayar Mühendisliği,306.66476,bilgisayar
BARTIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,305.91265,bilgisayar
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,305.84388,bilgisayar
BATMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,305.62841,bilgisayar
SİVAS CUMHURİYET ÜNİVERSİTESİ,Bilgisayar Mühendisliği,305.62041,bilgisayar
TARSUS ÜNİVERSİTESİ,Bilgisayar Mühendisliği,305.54084,bilgisayar
ANKARA MEDİPOL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),305.45516,bilgisayar
HİTİT ÜNİVERSİTESİ,Bilgisayar Mühendisliği,305.27337,bilgisayar
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.89321,bilgisayar
ERZURUM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.88422,bilgisayar
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.83156,bilgisayar
NECMETTİN ERBAKAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.77779,bilgisayar
İNÖNÜ ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.73667,bilgisayar
İSKENDERUN TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.69775,bilgisayar
AMASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.56845,bilgisayar
YAŞAR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),304.40776,bilgisayar
BİTLİS EREN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.40513,bilgisayar
YEDİTEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),304.38527,bilgisayar
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.20304,bilgisayar
YOZGAT BOZOK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,304.16108,bilgisayar
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),304.13447,bilgisayar
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,Bilgisayar Mühendisliği,303.95059,bilgisayar
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,303.91015,bilgisayar
DOĞU AKDENİZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),303.51011,bilgisayar
MUNZUR ÜNİVERSİTESİ,Bilgisayar Mühendisliği,303.21869,bilgisayar
AVRASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Burslu),303.17853,bilgisayar
ARTVİN ÇORUH ÜNİVERSİTESİ,Bilgisayar Mühendisliği,303.12241,bilgisayar
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),303.10695,bilgisayar
HARRAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,303.10303,bilgisayar
BAŞKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),302.67004,bilgisayar
OSTİM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),302.25772,bilgisayar
ŞIRNAK ÜNİVERSİTESİ,Bilgisayar Mühendisliği,302.22561,bilgisayar
SİİRT ÜNİVERSİTESİ,Bilgisayar Mühendisliği,301.53601,bilgisayar
İSTANBUL BEYKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),301.30063,bilgisayar
İSTANBUL BİLGİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),301.20544,bilgisayar
DOĞU AKDENİZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),301.05629,bilgisayar
IĞDIR ÜNİVERSİTESİ,Bilgisayar Mühendisliği,300.77244,bilgisayar
BİNGÖL ÜNİVERSİTESİ,Bilgisayar Mühendisliği,300.66939,bilgisayar
BAŞKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),300.41483,bilgisayar
ARDAHAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,299.6339,bilgisayar
AVRASYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),299.37544,bilgisayar
GİRNE AMERİKAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),299.27026,bilgisayar
İSTANBUL BEYKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),299.25484,bilgisayar
KTO KARATAY ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),297.68398,bilgisayar
DOĞU AKDENİZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),297.40747,bilgisayar
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),296.48027,bilgisayar
HALİÇ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli),296.11379,bilgisayar
İSTANBUL TOPKAPI ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),295.4467,bilgisayar
YAKIN DOĞU ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),294.45857,bilgisayar
İSTANBUL ESENYURT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),293.93003,bilgisayar
BAHÇEŞEHİR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),293.70454,bilgisayar
LEFKE AVRUPA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),291.9636,bilgisayar
ALANYA ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),291.94564,bilgisayar
ÜSKÜDAR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),290.52038,bilgisayar
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%25 İndirimli),290.49898,bilgisayar
İSTANBUL TİCARET ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),290.38683,bilgisayar
DOĞU AKDENİZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),290.22392,bilgisayar
İSTANBUL ATLAS ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),289.78278,bilgisayar
BİRUNİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),288.7877,bilgisayar
DOĞUŞ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),288.77871,bilgisayar
ULUSLARARASI KIBRIS ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),288.6228,bilgisayar
ULUSLARARASI FİNAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),288.35012,bilgisayar
İSTANBUL AYDIN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),287.41883,bilgisayar
DOĞU AKDENİZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),286.7704,bilgisayar
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),286.23257,bilgisayar
GİRNE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Burslu),286.10694,bilgisayar
İZMİR EKONOMİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),286.05112,bilgisayar
İSTANBUL RUMELİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),285.60183,bilgisayar
YAKIN DOĞU ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),285.0329,bilgisayar
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%25 İndirimli),284.86988,bilgisayar
İSTANBUL TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),283.04138,bilgisayar
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),282.6026,bilgisayar
HASAN KALYONCU ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),281.94992,bilgisayar
ALTINBAŞ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),281.6078,bilgisayar
BEYKOZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),281.17978,bilgisayar
DOĞU AKDENİZ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),280.43737,bilgisayar
BAŞKENT ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),280.34502,bilgisayar
ATILIM ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli),279.43495,bilgisayar
İSTİNYE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),278.74692,bilgisayar
YEDİTEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),277.44872,bilgisayar
OSTİM TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),275.91981,bilgisayar
IŞIK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),275.57342,bilgisayar
İSTANBUL TOPKAPI ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),274.47403,bilgisayar
İSTANBUL OKAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),273.63942,bilgisayar
MALTEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),273.53708,bilgisayar
HALİÇ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),273.41754,bilgisayar
İSTİNYE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),272.89229,bilgisayar
BİRUNİ ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),272.66063,bilgisayar
FENERBAHÇE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),271.72077,bilgisayar
ATILIM ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),271.14808,bilgisayar
İSTANBUL GEDİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (%50 İndirimli),270.16719,bilgisayar
GİRNE AMERİKAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),267.2577,bilgisayar
İSTANBUL AREL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (Ücretli),266.83186,bilgisayar
ULUSLARARASI KIBRIS ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%50 İndirimli),265.677,bilgisayar
MALTEPE ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (%25 İndirimli),265.54633,bilgisayar
ANKARA BİLİM ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),265.46967,bilgisayar
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (Ücretli),264.7155,bilgisayar
